40.0;195.0;3.726;10;0
109.0;332.0;1.131;10;0
49.0;135.0;1.0;10;0
169.0;383.0;1.066;10;0
67.0;103.0;1.3;10;0
226.0;436.0;1.4;10;0
86.0;77.0;1.384;10;0
304.0;510.0;1.349;10;0
114.0;58.0;1.45;10;0
322.0;480.0;1.416;10;0
143.0;47.0;1.267;10;0
346.0;459.0;1.651;10;0
176.0;41.0;1.367;10;0
368.0;435.0;1.499;10;0
212.0;43.0;1.25;10;0
392.0;412.0;1.467;10;0
254.0;57.0;1.4;10;0
419.0;392.0;1.5;10;0
305.0;92.0;1.267;10;0
445.0;373.0;1.401;10;0
330.0;70.0;1.499;10;0
466.0;353.0;1.417;10;0
355.0;55.0;1.183;10;0
491.0;329.0;1.332;10;0
388.0;44.0;1.418;10;0
514.0;304.0;0.932;10;0
421.0;43.0;1.534;10;0
535.0;273.0;1.233;10;0
458.0;49.0;1.384;10;0
550.0;238.0;1.234;10;0
503.0;72.0;1.266;10;0
556.0;178.0;1.05;10;0
553.0;138.0;1.084;10;1
535.0;102.0;0.7;10;1
503.0;69.0;0.6;10;1
475.0;52.0;0.667;10;1
439.0;42.0;0.733;10;1
390.0;44.0;0.717;10;1
352.0;54.0;0.666;10;1
303.0;92.0;0.734;10;1
268.0;68.0;1.133;10;1
208.0;41.0;0.733;10;1
162.0;43.0;0.651;10;1
117.0;57.0;0.616;10;1
69.0;94.0;0.716;10;1
43.0;151.0;0.717;10;1
46.0;220.0;0.649;10;1
64.0;283.0;0.75;10;1
118.0;343.0;0.649;10;1
156.0;381.0;0.684;10;1
196.0;413.0;0.85;10;1
241.0;443.0;0.667;10;1
269.0;474.0;0.9;10;1
298.0;516.0;1.15;10;1
328.0;480.0;0.633;10;1
363.0;438.0;0.583;10;1
409.0;401.0;0.618;10;1
464.0;366.0;0.883;10;1
513.0;308.0;0.966;10;1
540.0;267.0;0.717;10;1
552.0;221.0;0.833;10;1
557.0;176.0;1.534;1;1;0000000000000
203.0;595.0;2.0;0;1
145.0;744.0;1.599;10;1
179.0;693.0;1.182;10;1
231.0;688.0;1.217;10;1
252.0;741.0;1.167;10;1
208.0;596.0;1.367;10;1
294.0;593.0;1.367;0;1
296.0;593.0;1.566;10;1
293.0;745.0;1.668;10;1
303.0;600.0;2.449;10;1
382.0;741.0;1.384;10;1
386.0;594.0;1.984;10;1
439.0;593.0;2.05;0;1
439.0;593.0;0.849;10;1
441.0;744.0;1.867;10;1
